-0.76592,-10.0577,5,-0.00842291,-0.00877991,0.001,1e-05,0.01
-1.72556,7.07136,5,0.0025695,-0.004078,0.001,1e-05,0.01
-6.58541,-1.67003,5,0.00289985,-0.00064222,0.001,1e-05,0.01
8.50174,6.47562,5,0.00435674,0.00336422,0.001,1e-05,0.01
9.10501,-10.5623,5,-0.00142247,0.00525045,0.001,1e-05,0.01
13.1643,-2.75997,5,0.00172738,0.00262971,0.001,1e-05,0.01
15.2873,-21.1981,5,-0.00145558,0.00136258,0.001,1e-05,0.01
29.6174,-8.37336,5,-8.19562e-05,0.0010186,0.001,1e-05,0.01
23.5584,-0.0227807,5,0.00233747,0.000492825,0.001,1e-05,0.01
14.4266,-14.1536,5,-0.00267533,0.00095992,0.001,1e-05,0.01
19.8481,-6.51063,5,-0.000258634,0.000359081,0.001,1e-05,0.01
3.81493,-0.312849,5,0.0112366,0.0282607,0.001,1e-05,0.01
24.7273,-17.3861,5,-0.00108388,0.00101923,0.001,1e-05,0.01
20.3367,-11.3368,5,-0.00114355,0.000562321,0.001,1e-05,0.01
3.0084,-2.9829,5,-0.00858322,-0.0317795,0.001,1e-05,0.01
